"Time (ms)","Recording (a.u.)"
0.000000000E0,3.052729880E-4
2.083412250E-2,1.338471659E-3
4.166824501E-2,2.038157312E-3
6.250236751E-2,2.141126199E-3
8.333649002E-2,1.587011036E-3
1.041706125E-1,9.237541235E-4
1.250047350E-1,6.192028522E-4
1.458388575E-1,6.177252508E-4
1.666729800E-1,3.608686675E-4
1.875071025E-1,-2.761665964E-4
2.083412250E-1,-7.075062022E-4
2.291753476E-1,-5.970224738E-4
2.500094701E-1,-3.606768150E-4
2.708435926E-1,-6.715834024E-4
2.916777151E-1,-1.425651251E-3
3.125118376E-1,-2.164674923E-3
3.333459601E-1,-2.785460325E-3
3.541800826E-1,-3.283729544E-3
3.750142051E-1,-3.786825109E-3
3.958483276E-1,-4.262147006E-3
4.166824501E-1,-4.528061487E-3
4.375165726E-1,-4.459613468E-3
4.583506951E-1,-4.106300417E-3
4.791848176E-1,-3.824142506E-3
5.000189401E-1,-3.685927251E-3
5.208530626E-1,-3.597797127E-3
5.416871851E-1,-3.577302210E-3
5.625213076E-1,-3.734696191E-3
5.833554301E-1,-4.179854412E-3
6.041895526E-1,-4.654136021E-3
6.250236751E-1,-5.066083279E-3
6.458577976E-1,-5.680313334E-3
6.666919201E-1,-6.544350181E-3
6.875260427E-1,-7.226232439E-3
7.083601652E-1,-7.363582961E-3
7.291942877E-1,-7.460529450E-3
7.500284102E-1,-8.053785190E-3
7.708625327E-1,-8.817855269E-3
7.916966552E-1,-9.241643362E-3
8.125307777E-1,-9.235614911E-3
8.333649002E-1,-8.978087455E-3
8.541990227E-1,-8.662024513E-3
8.750331452E-1,-8.438281715E-3
8.958672677E-1,-8.203160949E-3
9.167013902E-1,-7.658804767E-3
9.375355127E-1,-6.741280667E-3
9.583696352E-1,-5.563426763E-3
9.792037577E-1,-4.399904981E-3
1.000037880E0,-3.533893265E-3
1.020872003E0,-2.795942128E-3
1.041706125E0,-1.831276342E-3
1.062540248E0,-6.637551123E-4
1.083374370E0,2.943858563E-4
1.104208493E0,6.898082793E-4
1.125042615E0,4.953062744E-4
1.145876738E0,-4.619697575E-5
1.166710860E0,-6.218185881E-4
1.187544983E0,-1.106205396E-3
1.208379105E0,-1.506540691E-3
1.229213228E0,-1.936450717E-3
1.250047350E0,-2.674482297E-3
1.270881473E0,-3.649733495E-3
1.291715595E0,-4.406576511E-3
1.312549718E0,-4.818884656E-3
1.333383840E0,-5.023770966E-3
1.354217963E0,-5.032606423E-3
1.375052085E0,-4.637075588E-3
1.395886208E0,-3.800338134E-3
1.416720330E0,-3.108301433E-3
1.437554453E0,-3.020661883E-3
1.458388575E0,-3.220921149E-3
1.479222698E0,-3.089533653E-3
1.500056820E0,-2.505269833E-3
1.520890943E0,-1.858784701E-3
1.541725065E0,-1.336917980E-3
1.562559188E0,-8.976882091E-4
1.583393310E0,-5.442050751E-4
1.604227433E0,-2.196588321E-4
1.625061555E0,4.273570958E-4
1.645895678E0,1.455932972E-3
1.666729800E0,2.192575019E-3
1.687563923E0,2.149465960E-3
1.708398045E0,1.500036335E-3
1.729232168E0,9.050213266E-4
1.750066290E0,5.899138632E-4
1.770900413E0,6.544125790E-5
1.791734535E0,-8.838106878E-4
1.812568658E0,-2.170773456E-3
1.833402780E0,-3.482154803E-3
1.854236903E0,-4.519441165E-3
1.875071025E0,-5.109163001E-3
1.895905148E0,-5.197679624E-3
1.916739270E0,-5.195375066E-3
1.937573393E0,-5.357005633E-3
1.958407515E0,-5.731354933E-3
1.979241638E0,-6.239818409E-3
2.000075760E0,-6.640018430E-3
2.020909883E0,-6.905757822E-3
2.041744005E0,-7.152020466E-3
2.062578128E0,-7.597978693E-3
2.083412250E0,-8.285695687E-3
2.104246373E0,-9.219475091E-3
2.125080495E0,-1.027297508E-2
2.145914618E0,-1.112352312E-2
2.166748740E0,-1.172956824E-2
2.187582863E0,-1.211977564E-2
2.208416985E0,-1.247651223E-2
2.229251108E0,-1.286934689E-2
2.250085231E0,-1.316209696E-2
2.270919353E0,-1.339215320E-2
2.291753476E0,-1.358610298E-2
2.312587598E0,-1.370903291E-2
2.333421721E0,-1.359581575E-2
2.354255843E0,-1.337159239E-2
2.375089966E0,-1.313767582E-2
2.395924088E0,-1.256014965E-2
2.416758211E0,-1.153067499E-2
2.437592333E0,-1.016623061E-2
2.458426456E0,-8.680822328E-3
2.479260578E0,-7.047759369E-3
2.500094701E0,-5.252365954E-3
2.520928823E0,-3.611521330E-3
2.541762946E0,-2.147427760E-3
2.562597068E0,-6.895698025E-4
2.583431191E0,9.001518483E-4
2.604265313E0,2.374268370E-3
2.625099436E0,3.370376769E-3
2.645933558E0,3.806191497E-3
2.666767681E0,3.538592719E-3
2.687601803E0,2.673431765E-3
2.708435926E0,1.420779969E-3
2.729270048E0,5.693110870E-5
2.750104171E0,-1.153020537E-3
2.770938293E0,-2.311231801E-3
2.791772416E0,-3.584164660E-3
2.812606538E0,-4.969805945E-3
2.833440661E0,-6.005741190E-3
2.854274783E0,-6.358899176E-3
2.875108906E0,-6.304621696E-3
2.895943028E0,-6.356838625E-3
2.916777151E0,-6.785951555E-3
2.937611273E0,-7.117101923E-3
2.958445396E0,-6.781147793E-3
2.979279518E0,-5.759898573E-3
3.000113641E0,-4.556938075E-3
3.020947763E0,-3.693426959E-3
3.041781886E0,-3.088478465E-3
3.062616008E0,-2.322857501E-3
3.083450131E0,-1.198315411E-3
3.104284253E0,4.947889829E-5
3.125118376E0,1.255616546E-3
3.145952498E0,2.457475523E-3
3.166786621E0,3.764786292E-3
3.187620743E0,5.179713480E-3
3.208454866E0,6.313405465E-3
3.229288988E0,6.956960075E-3
3.250123111E0,7.080325857E-3
3.270957233E0,6.755116396E-3
3.291791356E0,6.195607595E-3
3.312625478E0,5.589613691E-3
3.333459601E0,5.049636588E-3
3.354293723E0,4.357050173E-3
3.375127846E0,3.527045483E-3
3.395961968E0,2.863695379E-3
3.416796091E0,2.587811789E-3
3.437630213E0,2.746363636E-3
3.458464336E0,2.925698645E-3
3.479298458E0,2.775935922E-3
3.500132581E0,2.376302145E-3
3.520966703E0,2.009252086E-3
3.541800826E0,1.698804903E-3
3.562634948E0,1.239588484E-3
3.583469071E0,8.252143743E-4
3.604303193E0,6.693848409E-4
3.625137316E0,6.695071352E-4
3.645971438E0,8.237618022E-4
3.666805561E0,1.247668639E-3
3.687639683E0,1.869585831E-3
3.708473806E0,2.382905455E-3
3.729307928E0,2.600512467E-3
3.750142051E0,2.703299513E-3
3.770976173E0,2.871955046E-3
3.791810296E0,2.965935040E-3
3.812644418E0,2.877909457E-3
3.833478541E0,2.775504719E-3
3.854312663E0,2.782178577E-3
3.875146786E0,2.736947499E-3
3.895980908E0,2.611591248E-3
3.916815031E0,2.703140024E-3
3.937649153E0,3.034155583E-3
3.958483276E0,3.381914459E-3
3.979317398E0,3.811466508E-3
4.000151521E0,4.437983036E-3
4.020985643E0,5.044291727E-3
4.041819766E0,5.494431593E-3
4.062653888E0,5.988748744E-3
4.083488011E0,6.660190877E-3
4.104322133E0,7.429768331E-3
4.125156256E0,8.021971211E-3
4.145990378E0,8.197292686E-3
4.166824501E0,8.031754754E-3
4.187658623E0,7.689641323E-3
4.208492746E0,7.260848302E-3
4.229326868E0,6.608135998E-3
