Time (s)	Linear Acceleration x (m/s^2)	Linear Acceleration y (m/s^2)	Linear Acceleration z (m/s^2)	Absolute acceleration (m/s^2)
0.004939125	-0.29257903	-0.11019341	2.25194635	2.273545126
0.015003125	-0.0206812	-0.196194989	1.830136399	1.840738826
0.025066125	0.120699614	-0.539215171	1.261789961	1.377474248
0.035129125	0.181694808	-0.917071017	0.375038073	1.007316142
0.045192125	0.130483468	-1.21142877	-0.756632629	1.434251908
0.055255125	0.05473902	-1.402131323	-1.98578811	2.431526892
0.065318125	-0.076457242	-1.705392339	-3.135146055	3.56978284
0.075381125	-0.204280519	-2.020364305	-4.0065338	4.491760851
0.085444125	-0.315609349	-2.226344901	-5.494058445	5.936404558
0.095507125	-0.501619255	-2.287035638	-6.881905605	7.269303862
0.105570125	-0.51204696	-2.311514421	-7.322505584	7.695737719
0.115633125	-0.265126608	-2.26419042	-7.544845374	7.881722026
0.125696125	-0.065327798	-2.25807891	-7.637982164	7.965046116
0.135759125	0.513416744	-2.106061828	-7.816423983	8.111447285
0.145822125	0.323123715	-1.833950684	-8.062947857	8.27519862
0.155886125	0.167102716	-1.624905854	-8.296292108	8.455572428
0.165949125	0.062315038	-1.55686356	-8.381625203	8.525218376
0.176012125	-0.098546926	-1.544182118	-8.214212987	8.358678419
0.186075125	-0.234046537	-1.621070373	-7.762890385	7.933795691
0.196138125	-0.529916161	-1.744520444	-7.188493248	7.416103957
0.206201125	-0.756815793	-1.798172887	-6.796427498	7.070899704
0.216264125	-0.916010771	-1.850230356	-6.544240596	6.862179907
0.226327125	-1.067129282	-1.744737084	-6.14346074	6.474950368
0.236390125	-1.030322083	-1.444770243	-5.673898918	5.944918299
0.246453125	-1.062824416	-1.228394905	-4.987223547	5.245088034
0.256516125	-0.793462632	-0.933512072	-4.016528445	4.199229512
0.266579125	-0.380091091	-0.681260557	-2.851403484	2.956194684
0.276642125	-0.198317747	-0.621677138	-1.64277056	1.767627649
0.286705125	-0.069695522	-0.605650504	-0.7008537	0.928905758
0.296769125	-0.216449305	-0.872112872	0.375939129	0.974043835
0.306832125	-0.51460519	-0.816108168	1.488223972	1.773601318
0.316895125	-0.704278341	-0.685627331	2.695506189	2.869119453
0.326958125	-1.010876875	-0.487731351	3.933365251	4.090368703
0.337021125	-1.371058196	-0.430220915	4.955107715	5.159261873
0.347084125	-1.418291273	-0.133970099	6.013886442	6.180317812
0.357147125	-1.590432132	0.325353368	7.229044273	7.40907621
0.367210125	-1.728565147	0.841752009	7.817291125	8.050249962
0.377273125	-1.355293079	1.277173255	7.908703571	8.124997417
0.387336125	-1.054303853	1.522153464	7.806726376	8.023308824
0.397399125	-1.011259136	1.586669157	7.45871004	7.692367615
0.407462125	-1.169145361	1.792262083	7.31965682	7.626039615
0.417525125	-1.471324934	2.27970089	7.51772131	7.992369293
0.427588125	-1.402412282	2.620927585	7.427050291	7.999818601
0.437652125	-1.164446539	2.576897466	7.222588947	7.756424911
0.447715125	-0.746560873	2.436257312	7.079239193	7.523850768
0.457778125	-0.209769136	2.398137559	6.708350304	7.127203564
0.467841125	0.264388178	2.432560702	6.296590548	6.75531681
0.477904125	0.567437561	2.292068482	6.059712825	6.503513115
0.487967125	0.66057574	2.023126091	5.820029023	6.196945806
0.498030125	0.576819784	1.740852048	5.737288583	6.023268813
0.508093125	0.493714404	1.534570465	5.694731378	5.918498618
0.518156125	0.330032091	1.372406564	5.47546196	5.654476513
0.528219125	0.086788358	1.179608734	5.122414096	5.257198413
0.538282125	-0.125183716	1.036596437	4.660835477	4.776357449
0.548345125	-0.326274816	0.784532253	4.2818786	4.365367162
0.558408125	-0.45359991	0.454141691	3.81775118	3.871333314
0.568471125	-0.493133776	0.150650588	3.129443266	3.171638642
0.578535125	-0.537641539	-0.285703947	2.419974863	2.495388448
0.588598125	-0.630127753	-0.905421025	2.111961669	2.382693918
0.598661125	-0.455299696	-1.374522964	1.748128615	2.269926176
0.608724125	-0.225537194	-1.8217971	1.353150952	2.280532657
0.618787125	-0.143924243	-2.307762702	0.876269	2.472717176
0.628850125	-0.437877588	-2.621367588	0.27049512	2.67141768
0.638913125	-0.570105719	-2.615257832	0.010602756	2.676696934
0.648976125	-0.457664054	-2.580336506	-0.373061714	2.647030018
0.659039125	-0.461302265	-2.574680787	-0.899844389	2.766134642
0.669102125	-0.351142695	-2.278122434	-2.066932261	3.096021962
0.679165125	-0.822063557	-2.192911107	-3.443033534	4.164027802
0.689228125	-1.341580335	-2.239700527	-4.824294391	5.485427295
0.699291125	-1.423567654	-2.194104231	-5.53414871	6.121065282
0.709354125	-1.20944788	-2.216333737	-5.976449059	6.487899719
0.719417125	-0.751002857	-2.339692738	-6.296998683	6.759464462
0.729481125	-0.283292628	-2.420544382	-6.47122466	6.914914201
0.739544125	0.001420216	-2.488083523	-6.570101076	7.025438761
0.749607125	0.147006822	-2.600320535	-6.557436592	7.055724807
0.759670125	0.38288182	-2.681405337	-6.610100124	7.143525511
0.769733125	0.417998005	-2.586158287	-6.651209559	7.148533109
0.779796125	0.445889443	-2.34895312	-6.826071128	7.232678978
0.789859125	0.491149158	-2.094675253	-6.960543639	7.285469076
0.799922125	0.508388285	-1.753914727	-7.168348421	7.397289679
0.809985125	0.506270496	-1.449055229	-7.427846682	7.584785904
0.820048125	0.319651346	-1.42435849	-7.439997196	7.58185547
0.830111125	-0.009399692	-1.518286555	-7.001218041	7.163960948
0.840174125	-0.146408944	-1.586378843	-6.536363811	6.727710256
0.850237125	-0.133550479	-1.685617348	-5.992496157	6.226487916
0.860301125	-0.55851789	-1.772564422	-5.348545806	5.662231813
0.870364125	-0.56366238	-1.680351053	-4.626077873	4.953977334
0.880427125	-0.513145689	-1.381233374	-4.073323036	4.331637645
0.89049425	-0.410671151	-0.954373037	-3.762611352	3.903424506
0.90055725	-0.345249835	-0.721281679	-3.234593745	3.331972599
0.91062025	-0.240179079	-0.860203337	-2.495526152	2.650525711
0.92068325	-0.005927944	-1.139457439	-1.486621251	1.873083324
0.93074625	0.38841018	-1.648495861	-0.297140297	1.719503832
0.94080925	0.817651248	-1.625648451	0.799454713	1.987564914
0.95087225	0.286864473	-1.406310182	2.313068465	2.722183917
0.96093525	-0.067232272	-0.982297146	2.754618031	2.925294577
0.97099825	-0.082587079	-0.473255728	2.823609914	2.864186543
0.98106125	-0.141038185	0.001096645	3.028082367	3.031365335
0.99112525	0.034641171	0.427782114	3.308561608	3.336281981
1.00118825	0.096918623	0.576875369	3.926290705	3.969626823
1.01125125	-0.201021537	0.624389369	5.031757695	5.074333182
1.02131425	0.122525243	0.872523712	5.967555444	6.032249003
1.03137725	0.219326702	0.868741002	7.023506457	7.080427818
1.04144025	0.281076077	0.917801846	8.23721301	8.292951354
1.05150325	0.038833534	1.35834021	8.957138574	9.059631758
1.06156625	-0.057099888	1.570642816	9.294434624	9.426382881
1.07162925	0.080924606	2.160694557	9.483879148	9.727235654
1.08169225	0.254047578	2.843330233	9.178127072	9.611819991
1.09175525	0.058229789	2.954035567	8.897082991	9.37484947
1.10181825	-0.066267445	3.129533313	7.911916616	8.508630599
1.11188125	-0.208322918	2.899833924	6.991722162	7.572094428
1.12194425	-0.553901915	2.538334495	6.298692622	6.813477679
1.13200825	-0.323676423	2.192521244	5.763426806	6.174868775
1.14207125	-0.268520003	1.8812263	5.48600566	5.805805154
1.15213425	-0.148360197	1.227537995	5.34574382	5.486878645
1.16219725	-0.198619025	0.671937026	4.940775604	4.990211664
1.17226025	-0.287937108	0.345537481	4.409625059	4.432504607
1.18232325	-0.349143752	0.118732666	3.804822986	3.822653105
1.19238625	-0.42219404	-0.148312067	3.163477569	3.194970204
1.20244925	-0.352149367	-0.447535763	2.537463552	2.600580457
1.21251225	-0.28773125	-0.753042585	2.037467557	2.191149573
1.22257525	-0.29938877	-1.039197937	1.621462721	1.949027281
1.23263825	-0.329458662	-1.276264451	0.956134949	1.628369737
1.24270125	-0.393598159	-1.477671795	0.135271241	1.535165057
1.25276425	-0.579212611	-1.644729377	-0.702913674	1.88008234
1.26282825	-0.721071837	-1.724856697	-1.467580377	2.376734605
1.27289125	-0.714280223	-1.748372736	-2.33004644	2.999353243
1.28295425	-0.809955508	-1.766887798	-3.169846357	3.718312297
1.29301725	-0.762090859	-1.770709685	-3.71740185	4.187513794
1.30308025	-0.627995127	-1.938637187	-4.266356581	4.728053564
1.31314325	-0.581275143	-2.292283221	-4.628023242	5.197214858
1.32320625	-0.343208828	-2.248338326	-4.786492141	5.299370203
1.33326925	-0.530883254	-2.071238297	-5.262448479	5.680249035
1.34333225	-0.70376576	-1.875410513	-5.918246459	6.248047054
1.35339525	-0.544230547	-1.719415132	-6.349051766	6.600229815
1.36345825	-0.514169134	-1.647430937	-6.634145629	6.854946158
1.37352125	-0.47683247	-1.606177076	-6.931722713	7.131336044
1.38358425	-0.331609268	-1.481034674	-7.212092026	7.370054261
1.39364825	-0.131153559	-1.431113925	-7.227640357	7.369129762
1.40371125	0.140451289	-1.520713734	-7.011073523	7.175475508
1.41377425	0.353820355	-1.606650847	-6.800827528	6.996982982
1.42383725	0.421848835	-1.680218614	-6.644682897	6.866797057
1.43390025	0.322813082	-1.83536498	-6.415509465	6.680683692
1.44396325	0.287812234	-2.045826298	-6.093551247	6.434252708
1.45402625	0.295308364	-2.141982443	-5.652812104	6.052237644
1.46408925	0.205577724	-2.071830327	-5.229682437	5.628882793
1.47415225	0.205888247	-1.874392951	-4.914466642	5.263812429
1.48421525	0.212433328	-1.676330946	-4.524857892	4.830067526
1.49427825	0.276299358	-1.47125506	-3.933427817	4.20865622
1.50434125	0.433194992	-1.252352117	-3.363684479	3.615303168
1.51440425	0.601174461	-0.961964623	-3.121619107	3.321338964
1.52446725	0.675331846	-0.783890448	-3.018680044	3.191079214
1.53453125	0.570645782	-0.781619536	-2.816977417	2.978578096
1.54459425	0.234092	-0.840804395	-2.665902321	2.805135697
1.55465725	0.120589102	-0.894032476	-2.392871849	2.55727814
1.56472025	-0.179232838	-1.17350753	-2.083168809	2.397673168
1.57478325	-0.341800964	-0.928111145	-1.40742013	1.720188832
1.58484625	-0.385902565	-0.568614167	-0.034711411	0.688075391
1.59490925	-0.605582896	-1.082107729	1.412863888	1.879859608
1.60497225	-0.985372343	-1.18133052	3.231812224	3.579261196
1.61503525	-1.271731982	-0.730027067	4.64270677	4.868774785
1.62509825	-1.472045311	-0.112891078	5.261860249	5.465055816
1.63516125	-1.61617523	0.349349866	5.17582081	5.433524524
